Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
120%,97%, -   ,15.02,23.14,0.34,42.05,,
92%,92%, -   ,13.97,22.76,0.42,41.91,0,
157%,90%, -   ,15.63,23.79,0.22,43.93,0.05,0.04
117%,63%, -   ,9.77,16.74,0.12,30.67,-0.3,-0.27
70%,62%, -   ,10.13,15.17,0.21,27.46,-0.1,-0.37
55%,65%, -   ,22.06,17.5,0.16,25.37,-0.08,-0.17
54%,87%, -   ,22.66,18.26,1.37,26.29,0.04,-0.04
56%,99%, -   ,13.75,17.55,0.66,25.17,-0.04,-0.01
62%,100%, -   ,10.78,20.37,0.37,29.11,0.16,0.11
78%,124%, -   ,17.04,26.37,0.9,37.32,0.28,0.48
83%,112%, -   ,14.3,28.03,1.53,38.89,0.04,0.34
,103%, -   ,14.77,29.5,0,37.81,-0.03,0.01
,112%, -   ,16.54,36.23,0,44.65,0.18,0.15
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
116%,155%,137.71,18.37,17.74,72.35,36.01,,
140%,157%,112.44,23.73,26.13,7.34,53.86,0.5,
108%,116%,135.56,16.66,22.34,2.42,46.48,-0.14,0.29
94%,91%,157.38,13.79,17.66,1.35,43.01,-0.07,-0.2
67%,62%,292.68,12.06,12.19,0.83,28.82,-0.33,-0.38
78%,77%,245.97,11.77,15.29,1.16,36.5,0.27,-0.15
81%,73%,268.7,10.47,12.66,2.21,32.24,-0.12,0.12
43%,54%,358.5,-7.55,9.25,-3.13,24.7,-0.23,-0.32
28%,36%,664.82,,6.09,-0.76,16.26,-0.34,-0.5
41%,80%,315.89,15.39,8.18,-1.35,23.54,0.45,-0.05
77%,95%,220.94,10.09,12.37,-3.36,35.2,0.5,1.16
69%,87%,247.94,10.91,9.04,-7.15,27.93,-0.21,0.19
114%,130%,175.31,14.12,14.78,-11.49,46.58,0.67,0.32
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
195%,173%,6.1,22.69,6.7,1.72,63.98,,
173%,141%,9.72,21.13,6.86,36.45,65.92,0.03,
213%,155%,3.49,32.54,8.56,1.85,82.97,0.26,0.3
184%,152%,2.97,24.69,9.5,1.32,94.8,0.14,0.44
134%,112%,3.24,20.8,8.36,3.51,84.26,-0.11,0.02
102%,94%,3.62,16.93,7.47,4.44,77.9,-0.08,-0.18
103%,101%,4.33,17.25,7.8,4.71,91.77,0.18,0.09
82%,93%,10.71,23.17,7.23,3.73,85.5,-0.07,0.1
86%,98%,4.58,15.87,7.99,2.63,97.74,0.14,0.07
99%,115%,4.38,15.96,10.37,2.29,133.94,0.37,0.57
116%,148%,3.69,44.31,12.48,2.97,166.62,0.24,0.7
125%,210%,6.66,107.03,13.96,-3.38,189.44,0.14,0.41
168%,239%,4.12,31.73,15.63,-20.16,212.61,0.12,0.28
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
113%,130%,24.78,18.93,12.99,-7.79,52.43,,
149%,149%,22.31,24.12,17.35,12.24,70.67,0.35,
175%,143%,18.02,23.51,20.01,1.46,82.05,0.16,0.56
152%,120%,17.65,18,19.51,1.73,80.26,-0.02,0.14
117%,90%,25.48,13.98,16.54,6.79,69.75,-0.13,-0.15
112%,85%,22.56,13.5,17.03,4.13,74.1,0.06,-0.08
107%,82%,24.87,13.05,15.75,2.23,73.32,-0.01,0.05
102%,84%,25.18,14.05,15.47,3.49,78.56,0.07,0.06
119%,101%,21.3,15.41,19.4,9.22,100.02,0.27,0.36
125%,111%,19.64,19,21.84,12.93,113.81,0.14,0.45
143%,145%,33.02,39.6,27.95,0.25,132.66,0.17,0.33
193%,226%, -   ,40.03,38.27,-0.29,179.73,0.35,0.58
185%,248%,24.72,37.85,36.12,-1.33,170.69,-0.05,0.29
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
182%,164%,30.44,20.69,21.22,3.97,27.99,,
174%,159%,53.07,21.76,26.78,-3.24,35.25,0.26,
166%,142%,33.78,18.14,31.3,-33.8,42.5,0.21,0.52
96%,83%,31.85,13.22,20.52,3.38,29.38,-0.31,-0.17
118%,94%,21.64,26.13,23.07,18.36,33.53,0.14,-0.21
115%,99%,28.25,16.89,23.94,225.75,35.63,0.06,0.21
99%,83%,64.47,11.11,20.82,-46.57,31.88,-0.11,-0.05
121%,96%,40.72,13.99,26.54,-5.25,41.69,0.31,0.17
137%,109%,34.47,15,31.89,-10.66,50.55,0.21,0.59
122%,106%,14.27,14.41,34.02,7.01,54.61,0.08,0.31
75%,73%,20.34,11.33,22.49,68.59,37.26,-0.32,-0.26
77%,77%,19.55,12.1,20.49,-9.61,35.57,-0.05,-0.35
89%,92%,17.68,13.37,22.37,-18.45,39.32,0.11,0.06
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
146%,133%,43.11,22.06,6.77,10.06,14.8,,
162%,159%,28.64,28.71,9.14,-2.17,19.87,0.34,
133%,118%,79,20.37,7.88,7.57,17.05,-0.14,0.15
122%,111%,54.24,19.09,8.2,1.31,18.14,0.06,-0.09
97%,88%,53.94,16.2,6.98,2.52,15.5,-0.15,-0.09
111%,101%,28.16,19.26,8.55,4.66,19.39,0.25,0.07
125%,111%,29.52,18.42,10.42,10.28,23.95,0.24,0.55
141%,124%,14.04,24.29,12.27,11.08,28.78,0.2,0.48
176%,141%,13.42,25.64,15.07,2.68,35.25,0.22,0.47
221%,170%,12.51,29.32,19.15,3.81,44.86,0.27,0.56
223%,159%,21.23,28.11,18.83,-16.21,45.12,0.01,0.28
240%,139%,16.42,18.45,19.05,59.04,48.16,0.07,0.07
239%,117%,18.72,17.95,18.42,2.34,46.68,-0.03,0.03
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
150%,,28.83,27.01,14.36,10.88,42.67,,
210%,179%,22.39,23.65,20.76,1.71,60.78,0.42,
246%,145%,21.72,10.27,23.88,0.82,74.66,0.23,0.75
287%,121%,19.95,17.15,25.58,0.33,81.1,0.09,0.33
124%,46%,78.3,6.05,9.86,0.23,32.07,-0.6,-0.57
189%,71%,39.85,29.76,12.63,0.78,40.48,0.26,-0.5
308%,117%,54.91,27.75,24.7,-0.02,57.17,0.41,0.78
335%,121%,72,12.25,21.26,-0.12,48.64,-0.15,0.2
,96%,100.95,13.75,18.01,-0.78,40.85,-0.16,-0.29
133%,130%,82.84,22.37,24.2,-0.57,55.26,0.35,0.14
101%,121%,82.7,14.3,24.33,1.29,56.07,0.01,0.37
87%,103%,60.13,-10.28,20.17,-1.03,46.15,-0.18,-0.16
80%,124%,35.94,-8.08,26.16,-0.64,61.88,0.34,0.1
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,18.93,951.57,22.88,0.04,66.61,,
,,13.2,96.34,15.39,-0.43,45.28,-0.32,
,,11.85,78.08,16.63,-2.5,49.19,0.09,-0.26
126%,,38.46,28.6,16.83,-1.16,56.92,0.16,0.26
107%,189%,19.38,17.97,13.72,-3.12,47.63,-0.16,-0.03
104%,146%,13.36,15.97,14.71,2.23,53.5,0.12,-0.06
107%,138%,15.66,17.02,16.13,-9.62,67.05,0.25,0.41
144%,163%,8.3,21.84,26.65,-30.52,110.05,0.64,1.06
149%,179%,11.32,25.41,34.63,4.93,146.37,0.33,1.18
273%,272%,6.29,35.8,66.07,0.81,279.57,0.91,1.54
241%,241%,6.53,27.44,79.62,0.89,339.45,0.21,1.32
159%,159%,8.41,19.97,66.97,0.99,306.35,-0.1,0.1
135%,126%,8.19,17.24,66.4,1.78,305.2,0,-0.1
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
67%,108%, -   ,18.06,26,0.58,33.42,,
62%,97%, -   ,15.69,24.57,0.57,31.85,-0.05,
98%,92%, -   ,9.99,29.76,0.58,39.37,0.24,0.18
117%,106%, -   ,22.37,55.88,0.06,48.76,0.24,0.53
92%,64%, -   ,23.61,32.51,0.07,28.33,-0.42,-0.28
100%,74%, -   ,-24.11,33.78,0.67,27.97,-0.01,-0.43
113%,84%, -   ,14.66,37.49,1.02,30.2,0.08,0.07
78%,59%, -   ,9.81,24.08,0.08,19.91,-0.34,-0.29
129%,83%, -   ,14.86,29.9,0.06,25.7,0.29,-0.15
229%,113%, -   ,20.2,39.91,0.03,34.94,0.36,0.75
169%,128%, -   ,18.87,45.37,0.13,40.57,0.16,0.58
137%,116%, -   ,15.21,44.74,0.31,41.22,0.02,0.18
175%,114%, -   ,16.09,50.19,-0.74,47.47,0.15,0.17
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
181%,194%, -   ,35.6,4.92,6.38,77.26,,
219%,223%, -   ,30.99,6.94,0.8,108.48,0.4,
195%,263%, -   ,39.25,17.68,0.06,151.9,0.4,0.97
262%,256%, -   ,28.79,25.43,0.07,216.8,0.43,1
106%,129%,12.48,23.21,15.85,-0.95,134.15,-0.38,-0.12
142%,183%,21.8,38,43.84,0.02,232.2,0.73,0.07
94%,129%,14.4,18.06,36.44,0.04,190.58,-0.18,0.42
86%,101%,13.62,14.41,31.78,1.13,178.24,-0.06,-0.23
91%,102%,13.07,14.99,35.62,0.34,206.71,0.16,0.08
126%,136%,8.95,18.76,53.39,0.21,316.47,0.53,0.78
133%,128%,8.11,18.57,59.68,0.23,357.56,0.13,0.73
115%,109%,8.92,17.21,56.39,2.67,340.52,-0.05,0.08
142%,111%,7.59,19.65,61.15,-0.62,373.67,0.1,0.05
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
140%,140%,45.31,16.6,4.96,1.8,21.99,,
114%,102%,59.21,16.02,4.14,-17.55,19.86,-0.1,
140%,103%,66.71,13.89,4.54,0.77,21.8,0.1,-0.01
149%,102%,67.25,16.42,4.39,0.61,22.5,0.03,0.13
123%,88%,89.54,12.61,3.93,-15.17,20.8,-0.08,-0.05
119%,99%,55.33,12.67,4.86,2.78,25.85,0.24,0.15
152%,116%,40.65,13.35,5.86,0.89,34.03,0.32,0.64
119%,108%,51.98,13.58,5.73,2.27,35.71,0.05,0.38
123%,126%,37.67,17.9,6.7,3.69,44.75,0.25,0.32
121%,133%,37.31,18.92,7.34,7.06,51.66,0.15,0.45
137%,157%,29.44,20.66,9.34,-5.94,68.17,0.32,0.52
133%,176%,29.45,36.55,10.27,0.84,72.73,0.07,0.41
133%,195%,38.2,36,13.47,0.06,77.05,0.06,0.13
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
80%,98%,384.19,21.17,49.88,8.13,25.62,,
90%,90%,299.83,15.12,44.97,5.82,22.98,-0.1,
138%,114%,246.81,32.49,51.64,2.43,26.32,0.15,0.03
136%,111%,325.94,24.33,52.35,-31.97,26.52,0.01,0.15
106%,86%,288.6,8.87,46.03,-11.47,23.25,-0.12,-0.12
102%,60%,250.02,4.73,43.15,9.58,25.25,0.09,-0.05
87%,60%,254.49,14.79,44.99,4.03,26.48,0.05,0.14
100%,77%,220.77,16.31,59.38,43.03,35.24,0.33,0.4
76%,102%,254.03,28.09,53.12,1.93,32.59,-0.08,0.23
132%,183%,234.05,34.51,87.22,2.68,53.15,0.63,0.51
167%,296%,143.33,49.19,97.58,-1.73,59.03,0.11,0.81
290%,382%,116.54,73.97,114.26,-3.07,68.79,0.17,0.29
332%,301%,157.88,28.49,95.23,3.44,56.98,-0.17,-0.03
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
100%,145%, -   ,18.54,135.47,0.31,58.72,,
99%,121%, -   ,15.9,135.64,0.75,58.71,0,
131%,123%, -   ,15.39,169.7,0.32,73.32,0.25,0.25
161%,130%, -   ,16.62,219.91,0.27,94.72,0.29,0.61
119%,97%, -   ,29.91,149.39,0.94,64.28,-0.32,-0.12
111%,101%, -   ,18.98,152.48,0.97,65.72,0.02,-0.31
122%,123%, -   ,15.16,198.05,0.27,80.11,0.22,0.25
101%,107%, -   ,18.42,188.93,0.37,76.3,-0.05,0.16
112%,116%, -   ,14.99,221.06,0.64,89.7,0.18,0.12
126%,126%, -   ,15.01,292.36,0.43,118.56,0.32,0.55
146%,134%, -   ,18.63,370.02,0.45,150.15,0.27,0.67
118%,104%, -   ,13.51,325.49,0.73,132.04,-0.12,0.11
130%,111%, -   ,16.76,390.08,0.65,158.18,0.2,0.05
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
262%,254%,73.28,28.67,29.7,4.08,35.55,,
186%,156%,60.39,32.65,20.09,1.2,24.49,-0.31,
111%,102%,155.47,-6.11,25.43,0.16,17.18,-0.3,-0.52
100%,74%,279.45,-35.24,17.34,0.13,11.63,-0.32,-0.53
69%,,417.7,-5.69,11.62,-0.65,7.74,-0.33,-0.55
126%,,335.78,-13.24,13.6,-0.36,9,0.16,-0.23
125%,,344.65,-10.81,11.51,-0.47,7.57,-0.16,-0.02
117%,100%,338.39,18.41,7.74,-0.59,5.34,-0.29,-0.41
101%,107%,309.25,-1.98,7.77,-0.44,5.73,0.07,-0.24
163%,225%,151.75,-133.56,15.89,-0.56,12.02,1.1,1.25
156%,,214.79,-147.22,17.59,-1.85,13.25,0.1,1.31
234%,,131.78,-102.44,24.83,2.61,18.44,0.39,0.53
298%,1914%,142.6,352.5,28.8,2.23,21.15,0.15,0.6
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
162%,128%,49.03,14.03,3.05,1.03,13.54,,
151%,123%,74.02,14.53,3.46,1.72,15.16,0.12,
125%,112%,70.11,16.13,3.41,0.75,14.76,-0.03,0.09
171%,165%,43.76,20.22,5.75,0.76,24.77,0.68,0.63
89%,70%,114.78,-70.26,2.52,-6.75,10.89,-0.56,-0.26
133%,142%,62.99,144.43,3.88,-1.97,16.61,0.53,-0.33
278%,234%,38.48,23.57,8.13,1.12,36.18,1.18,2.32
184%,150%,59.79,14.36,6.92,2.64,31.87,-0.12,0.92
161%,127%,44.77,17.13,8.28,2.84,35.81,0.12,-0.01
213%,160%,29.04,20.71,12.74,1.65,55.91,0.56,0.75
198%,125%,39.46,19.21,12.44,5.62,54.95,-0.02,0.53
172%,89%,54.53,16.01,9.48,0.53,43.23,-0.21,-0.23
124%,75%,68.53,14.5,7.6,0.57,35.68,-0.17,-0.35
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,113%, -   ,24.78,7.13,-1.72,64.67,,
,124%, -   ,19.2,8.35,2.63,74.13,0.15,
,141%, -   ,15,13.15,0.79,111.88,0.51,0.73
,86%,12.47,8.39,10.97,4.4,91.81,-0.18,0.24
,60%,7.93,63.22,6.64,-0.5,55,-0.4,-0.51
,89%,5.62,38.11,9.31,-0.15,67.07,0.22,-0.27
,290%,3.54,75.53,12.07,-0.07,86.1,0.28,0.57
,314%,3.17,53.55,14.75,0.01,99.6,0.16,0.49
,418%,3.61,55.11,16.04,-0.61,105.81,0.06,0.23
,222%,8.64,20.65,15.35,-0.2,100.37,-0.05,0.01
,288%,10.02,45.47,19.7,-0.33,128.69,0.28,0.22
,257%,6.21,34.28,19.59,0.51,127.54,-0.01,0.27
,258%,9.33,38.31,18.91,0.78,122.99,-0.04,-0.04
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
89%,98%, -   ,14.78,250.28,0.02,481.8,,
,88%, -   ,10.22,250.26,-0.1,485.3,0.01,
,92%, -   ,12.92,273.6,-0.02,557,0.15,0.16
,60%, -   ,40.89,161.25,0,294.4,-0.47,-0.39
4%,16%, -   ,-1.19,38.06,1.69,67.1,-0.77,-0.88
4%,20%, -   ,-4.14,94.28,-0.11,33.1,-0.51,-0.89
10%,59%, -   ,13.36,137.45,-2.87,47.3,0.43,-0.3
34%,53%, -   ,7.25,76.93,2.19,26.31,-0.44,-0.21
49%,97%, -   ,16.21,119.82,-2.14,39.56,0.5,-0.16
96%,121%, -   ,12.01,157.85,19.36,52.11,0.32,0.98
109%,126%, -   ,24.6,163.62,-4.82,54.11,0.04,0.37
91%,100%, -   ,9.58,152.83,-0.89,51.75,-0.04,-0.01
115%,106%, -   ,12.34,161.81,-4.2,56.78,0.1,0.05
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
59%,,148.75,542,15.91,-1.34,27.1,,
71%,,123.37,100.78,15.56,-2.16,27.21,0,
120%,,154.65,117.77,13.7,1.7,25.91,-0.05,-0.04
118%,225%,190.13,24.19,11.47,-2.61,22.5,-0.13,-0.17
96%,142%,227.26,13.65,9.14,-3.51,17.61,-0.22,-0.32
132%,131%,152.88,15.97,11.96,2.98,23.47,0.33,0.04
113%,112%,162.28,15.02,12.15,3.83,24.18,0.03,0.37
112%,107%,136.1,14.28,12.85,-34.38,27.56,0.14,0.17
89%,90%,140.63,12.22,11.28,27.64,25.18,-0.09,0.04
100%,103%,126.6,15.34,13.59,-4.57,30.98,0.23,0.12
107%,105%,90.1,17.16,14.2,-11.73,32.61,0.05,0.3
103%,99%,93.99,17.01,12.7,4.26,30.79,-0.06,-0.01
115%,103%,75.77,16.64,13.28,6.02,31.78,0.03,-0.03
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
142%,92%,129.71,16.54,10.54,-3,20.35,,
103%,84%,168.55,17.08,8.99,-0.98,17.59,-0.14,
119%,98%,135.13,13.14,9.72,-1.11,19.84,0.13,-0.03
106%,86%,198.98,9.66,8.89,0.68,18.35,-0.08,0.04
104%,61%,108.83,6.73,6.39,-0.35,14.47,-0.21,-0.27
81%,84%,108.19,11.62,8.32,-0.24,18.82,0.3,0.03
86%,85%,107.41,10.53,8.12,-1.65,19.79,0.05,0.37
76%,92%,113.7,17.47,7.98,6.93,19.57,-0.01,0.04
101%,120%,129.72,14.17,11,0.29,26.22,0.34,0.32
96%,146%,105.15,35.9,10.6,0.34,25.13,-0.04,0.28
109%,180%,110.19,-50.92,12.86,-1.05,30.04,0.2,0.15
125%,336%,71.21,-22.79,15.58,-0.42,35.56,0.18,0.42
136%,227%,62.71,25.14,16.51,-0.64,37.71,0.06,0.26
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
88%,81%,239.48,17.16,17.62,5.69,41.35,,
87%,92%,250.75,19.82,18.97,-8.84,46.19,0.12,
88%,94%,225.01,10.68,18.57,-28.3,50.93,0.1,0.23
72%,67%,280.45,10.38,13.23,3.31,37.04,-0.27,-0.2
51%,41%,519.59,6.9,7.85,2.69,21.94,-0.41,-0.57
73%,76%,343.28,18.99,11.98,-0.76,33.61,0.53,-0.09
103%,107%,294.35,16.7,15.95,-1.02,45.42,0.35,1.07
92%,108%,337.48,13.73,14.41,1.84,42,-0.08,0.25
115%,143%,309.11,48.66,16,1.99,47.2,0.12,0.04
130%,189%,220.46,20.28,23.1,19.59,68.56,0.45,0.63
130%,198%,206.13,23.11,27.44,-5.79,83.65,0.22,0.77
103%,149%,252.54,18.06,25.12,1.75,78.01,-0.07,0.14
95%,122%,281.27,17.22,22.76,1.79,71.11,-0.09,-0.15
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,177%,326.48,16.93,33.44,-3.17,48.76,,
487%,152%,334.64,14.3,38.76,-4.14,57.77,0.18,
127%,114%,323.2,11.86,39.61,-0.52,61.33,0.06,0.26
110%,106%,306.57,13.51,45.28,1.55,72.56,0.18,0.26
75%,57%,573.65,7.89,26.87,1.06,44.67,-0.38,-0.27
89%,88%,338.52,39.85,35.6,3.12,56.99,0.28,-0.21
209%,144%,235.11,22.57,59.83,-7.14,93.66,0.64,1.1
146%,134%,315.24,12.24,58.67,0.68,90.6,-0.03,0.59
228%,109%,332.05,10.57,58.7,0.36,89.61,-0.01,-0.04
158%,105%,300.59,15.79,57.92,5.32,90.81,0.01,0
142%,102%,304.57,15.57,55.48,-2.28,91.53,0.01,0.02
89%,85%,387.04,19.42,39.57,-2.39,67.96,-0.26,-0.25
127%,160%,263.96,91.25,48.64,-2.38,95.81,0.41,0.05
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,132%, -   ,11.02,12.16,0,42.75,,
,131%, -   ,16.15,17.28,0,53.44,0.25,
,122%, -   ,8.77,19.77,0,60.57,0.13,0.42
,98%, -   ,8.07,20.37,0,61.78,0.02,0.16
,82%, -   ,15.12,17.65,0,52.92,-0.14,-0.13
,73%, -   ,6.68,17.03,0,50.4,-0.05,-0.18
,91%, -   ,6.83,20.85,0,62.25,0.24,0.18
,97%, -   ,15.51,23.63,0,70.12,0.13,0.39
,110%, -   ,10.11,27.16,0,79.8,0.14,0.28
,122%, -   ,9.48,35.22,0,103.53,0.3,0.48
,121%, -   ,13.64,37.76,0,114.88,0.11,0.44
,125%, -   ,13.56,37.92,0,116.85,0.02,0.13
,130%, -   ,16.93,58.94,0,126.65,0.08,0.1
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
95%,,72,37.27,2.38,-7.22,11.18,,
137%,165%,57.99,20.65,4.35,-0.54,19.62,0.75,
183%,191%,58.88,24.59,7.55,0.35,33.2,0.69,1.97
101%,94%,112.68,12.98,4.34,0.45,21.55,-0.35,0.1
18%,18%,433.53,-0.9,0.89,-0.61,4.32,-0.8,-0.87
64%,74%,120.05,113.08,4.37,-0.3,13.57,2.14,-0.37
93%,197%,95.55,32.51,6.63,-10.58,20.48,0.51,3.74
78%,127%,176.13,20.57,4.99,1.52,15.22,-0.26,0.12
123%,146%,149.36,20.52,6.57,0.91,19.9,0.31,-0.03
149%,172%,99.08,27.68,8.73,1.71,26.3,0.32,0.73
154%,163%,85.51,23.62,11.4,4.83,34.25,0.3,0.72
136%,136%,144.42,21.21,11.56,0.97,34.58,0.01,0.31
129%,106%,155.28,20.28,9.92,0.68,29.41,-0.15,-0.14
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
83%,223%, -   ,-1.32,22.89,-0.39,26.85,,
72%,176%,223.64,-2.68,18.58,-0.17,24.05,-0.1,
95%,124%,141.1,14.5,23.96,-0.25,31.18,0.3,0.16
90%,86%,161.64,15.75,18.31,-4.88,27.25,-0.13,0.13
34%,25%,586.19,-0.47,5.57,-0.34,8.19,-0.7,-0.74
65%,70%,337.83,42.58,9.48,-0.31,14.05,0.72,-0.48
102%,123%,211.31,18.32,12.96,-17.15,19.05,0.36,1.33
144%,140%,145.06,14.14,17.67,29.49,27.14,0.42,0.93
169%,146%,103.57,15.92,23.97,25.57,38.05,0.4,1
238%,189%,66,21.18,37.99,25.29,63.74,0.68,1.35
194%,114%,72.88,10.5,28.06,-1.85,55.34,-0.13,0.45
145%,88%,75.54,16.31,21.82,-2.04,47.13,-0.15,-0.26
162%,103%,50.85,17.02,24.7,3.77,60.92,0.29,0.1
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
226%,100%,17.13,18.97,3.73,-0.19,16.64,,
410%,162%,17.25,-13.06,5.76,-0.32,26.91,0.62,
619%,194%,6.22,-107.67,6.53,0.22,32.3,0.2,0.94
1057%,,8.94,-47.82,11.75,0.01,41.6,0.29,0.55
887%,,47.46,-70.32,5.08,-0.01,17.58,-0.58,-0.46
863%,,19.32,-83.06,11.43,-0.84,39.04,1.22,-0.06
679%,,10.06,-37.78,12.75,1.54,43.83,0.12,1.49
603%,454%,8.98,86.15,12.74,1.71,44.8,0.02,0.15
890%,656%,17.15,112.75,21.15,0.22,72.16,0.61,0.65
,818%,10.3,282.42,24.53,0.14,73.43,0.02,0.64
,,11.42,75.67,26.27,0.33,78.7,0.07,0.09
,277%,9.89,19.56,28.85,1.76,86.45,0.1,0.18
,249%,10.59,87.39,30.57,2.59,84.77,-0.02,0.08
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,150%,94.96,23.67,44.81,-0.29,53.01,,
,133%,95.16,20.18,46.29,-0.19,54.49,0.03,
,103%,110.53,17.69,40.92,1.09,48.99,-0.1,-0.08
,91%,160.9,15.29,37.36,0.84,45.12,-0.08,-0.17
,44%,275.29,7.24,16.49,0.65,21,-0.53,-0.57
,71%,155.07,14.3,25.21,0.14,32.03,0.53,-0.29
,93%,139.31,16.72,32.63,0.06,41.31,0.29,0.97
186%,80%,183.89,13.72,25.8,1.69,33.2,-0.2,0.04
218%,98%,189.86,23.15,30,39.52,38.66,0.16,-0.06
158%,111%,186.1,26.55,28.02,2.88,36.11,-0.07,0.09
196%,163%,156.73,28.31,34.31,2.62,44.16,0.22,0.14
159%,173%,137.66,22.36,39.01,-1.86,50.53,0.14,0.4
134%,150%,135.11,16.12,39.63,-12.16,52.55,0.04,0.19
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,21.33,88.4,4.38,0.45,6.63,,
,,8.37,180,11.09,0.41,16.2,1.44,
,,8.33,319.67,21.64,0.51,28.77,0.78,3.34
,,18.73,85.59,18.63,10.83,23.11,-0.2,0.43
,,19.08,-15.98,25.38,0.46,27.64,0.2,-0.04
,,17.77,33.54,25.57,0.91,27.84,0.01,0.2
,,36.2,31.46,27.82,0.42,29.57,0.06,0.07
171%,149%,45.56,23.72,29.57,0.9,33.8,0.14,0.21
149%,130%,43.07,23.78,32.94,-12.68,39.24,0.16,0.33
241%,248%,23.03,50.29,69.22,-77.8,84.48,1.15,1.5
255%,269%,18.88,46.8,89.51,4.31,111.86,0.32,1.85
246%,265%,16.44,61.73,94.2,0.55,119.76,0.07,0.42
207%,234%,21.89,46.03,93.85,0.86,121.06,0.01,0.08
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
159%,171%,29.96,30.93,1.95,1.14,6.65,,
218%,281%,22.7,41.67,3.6,1.39,11.46,0.72,
224%,231%,27.43,33.97,3.57,0.99,11.38,-0.01,0.71
368%,239%,20.43,36.81,4.52,0.67,14.1,0.24,0.23
269%,131%,35.51,17.01,3.11,0.46,9.61,-0.32,-0.16
458%,235%,17.38,35.66,6.79,1.43,20.61,1.14,0.46
341%,207%,12.91,34.09,7.92,1.55,23.69,0.15,1.47
294%,225%,14.32,34.81,10.39,1.31,30.63,0.29,0.49
265%,274%,14.97,34.3,13.34,1.85,38.76,0.27,0.64
410%,342%,11.49,49.33,19.16,1.08,55.74,0.44,0.82
,330%,9.81,43.11,22.08,2.3,64.66,0.16,0.67
,270%,12.93,39.07,20.58,0.47,60.17,-0.07,0.08
,194%,16.4,26.86,17.14,0.44,50.49,-0.16,-0.22
